2012z,Hochschule,Bachelor,Master,Promotion,Education
Maths,14198,28994,10729,8718,7704
female,5591,10334,3826,3568,5204
economics,34949,71708,21169,3509,2045
female,17435,40741,10427,1273,1224
languages,16608,25943,7357,3019,26099
female,11548,19793,5339,1670,19962
medicine/sport,12118,3751,1482,7350,281
female,7809,2913,1003,4278,249
engineering,19558,41296,13606,2860,455
female,3955,9436,3473,505,154
rest,8663,11477,4217,1321,2124
female,5597,7168,2668,878,1663
