2020,Baden Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein Westpfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
,,,,,,,,,,,,,,,,
students 2020,360766,404700,197794,50615,37610,115615,266903,39144,209106,503160,123809,32158,108716,55089,67556,96587
female,176183,201416,101388,26185,18932,60155,131853,20122,104587,255056,64749,16358,52158,27542,33371,55814
1.year 2020,57395,66213,24900,7626,5939,14304,35413,6203,26736,54565,15630,5266,17032,8060,10206,17794
female,28881,33804,13364,4068,3111,7615,18720,3489,14375,29509,8504,2700,8608,4160,5093,11199
,,,,,,,,,,,,,,,,
Maths,39296,43882,18914,4925,3685,10068,26580,4947,25613,85267,15739,2104,12172,4737,10742,5087
female,20194,21788,8175,2490,1818,4408,13788,2660,13182,41244,8334,1034,5435,2258,4699,2400
economics,130701,148048,71434,19847,11747,58402,104576,14218,71399,160735,52986,14334,31379,24326,24056,51778
female,75499,86227,42745,11365,6341,34040,60189,8150,42247,91305,30747,7870,19029,14072,12484,34816
languages,38976,46037,23431,9077,4859,7670,23571,3769,23746,99196,16032,2830,12671,3168,8600,6119
female,27438,31555,15138,6028,3491,4800,14891,2360,16552,66533,11194,1908,8731,2034,5928,3916
medicine/sport,26654,29917,13731,1981,4549,11399,18765,6285,13440,37874,8352,5740,9104,4968,6068,8067
female,16833,20088,8649,1000,3468,7583,12066,4045,9046,21961,5256,3316,5760,3122,3900,5556
engineering,106208,115738,51451,11155,9878,21667,74941,8011,55825,109816,26718,5455,35656,12336,13256,19491
female,24688,28851,14795,3185,2197,5066,19204,1881,12408,27013,6803,1265,8352,2861,3175,5156
education,31337,38501,15806,4624,2608,5786,21543,4546,12817,79722,17770,1538,11030,4450,7003,4471
female,22340,26225,10318,2919,1855,3952,13798,2924,9285,52438,11776,1060,7589,2789,4380,2497
rest,18931,21078,18833,3630,2892,6409,18102,1914,19083,10272,3982,1695,7734,5554,4834,6045
female,11531,12927,11886,2117,1617,4258,11614,1026,11152,7000,2415,965,4851,3195,3185,3970
,,,,,,,,,,,,,,,,
Wissenschaftliches Personal,65921,55961,24225,6517,4323,11744,24792,6238,26373,66259,13416,4191,19161,7928,7085,9556
Verwaltungs Personal,44146,42811,17228,2744,1828,9261,21948,7500,23878,55427,11623,5970,16357,9483,8861,7266
writtenexams,62226,61573,27754,9067,6293,14961,31943,6515,30938,85280,20407,3295,31853,9675,10268,11290
studentsperinstitution,4287,6524,5165,4321,4911,4161,7173,3982,6302,9074,7050,5683,5099,6139,4225,4094
supervisionratio,51,59,66,80,80,77,87,64,64,97,90,67,59,70,78,56
,,,,,,,,,,,,,,,,
Einnahmen,3476041,3592309,1718352,128894,211785,887890,1799006,571166,1743206,4529444,712324,436420,1240423,665898,962455,500905
3. Gelder,1136515,1024113,538317,111526,115570,237831,457935,102839,563331,1313353,192723,62016,479086,119531,142371,162750
,,,,,,,,,,,,,,,,
Mlanguages,289230,294390,131005,48645,22594,75529,169631,30514,144481,459486,105806,28872,102752,35320,31353,75990
Mmedicine/sport,3297032,3323286,1415592,6448,1067,728794,1215803,795525,1444635,4082989,649187,494031,983953,681356,1025599,438505
Meconomics,362297,400331,226171,77669,37382,131446,293539,33449,212991,546708,193753,25072,95162,45406,48638,64233
Mmaths,797406,825476,245716,91256,100245,184500,384571,91982,332165,1020490,241880,65218,262920,74814,93635,162456
Mengineering,607947,544019,213781,74869,57858,176794,267298,53528,363807,869260,118666,18051,415348,86645,48531,105091
Mrest,179950,226984,122470,23601,11997,39605,110482,25594,193246,211558,29241,7006,82567,28552,36288,27834
